file,theta,degrees,destination,rho1,rho2,stimulus,stimpos
GOPR0243,2.888225761,165.4831464,2.371421486,0.281854637,0.564549333,0.01973273,1
GOPR0243,0.562001463,32.20031191,0.706358326,0.265649762,0.568335801,1.746383633,2
GOPR0243,5.058091212,289.8072788,5.131524722,0.276304372,0.610912436,3.204876095,3
GOPR0243,5.301043594,303.727425,5.315370556,0.356517104,0.669758361,4.755521074,4
GOPR0244,4.535440082,259.8615749,4.471153734,0.296788727,0.527449291,0.159783202,1
GOPR0244,5.036954538,288.5962366,5.062738264,0.255613728,0.575331873,1.763879879,2
GOPR0244,4.60148732,263.6458029,4.608360064,0.278934789,0.644140609,3.252494314,3
GOPR0244,6.061251836,347.2841487,6.031288054,0.414426889,0.670340685,4.760521333,4
GOPR0245,1.731114413,99.18554971,1.891374143,0.278479509,0.690112699,0.043487056,1
GOPR0245,1.241756623,71.14741366,1.104045415,0.408214172,0.660325507,1.651249279,2
GOPR0245,5.634781616,322.8492051,5.556651003,0.46914902,0.709320279,3.271927816,3
GOPR0245,3.579660578,205.0994432,3.517620192,0.282009054,0.55418331,4.724658303,4
